,questao,enunciado,a,b,c,d,e,correta,explicacao,tema
10,11,"Nota: Esta pergunta faz parte de uma série de perguntas que apresentam o mesmo cenário. Cada pergunta da série contém uma solução única que pode atingir as metas declaradas. Alguns conjuntos de perguntas podem ter mais de uma solução correta, enquanto outros podem não ter uma solução correta. Depois de responder a uma pergunta nesta seção, você NÃO poderá retornar a ela. Como resultado, essas perguntas não aparecerão na tela de revisão. Você planeja implantar várias máquinas virtuais do Azure. Você precisa garantir que os serviços em execução nas máquinas virtuais estejam disponíveis se um único datacenter falhar. Solução: Você implanta as máquinas virtuais em dois ou mais conjuntos de escala. Isso cumpre o objetivo?",Sim,Não,,,,B,"Esta resposta não especifica que o conjunto de escala será configurado em vários datacenters, portanto, essa solução não atende ao objetivo. Os conjuntos de escala de máquina virtual do Azure permitem que você crie e gerencie um grupo de VMs com carga balanceadas. O número de instâncias de VM pode aumentar ou diminuir automaticamente em resposta à demanda ou a um cronograma definido. Os conjuntos de escala fornecem alta disponibilidade para seus aplicativos e permitem que você gerencie, configure e atualize de forma centralizada muitas VMs. As Máquinas Virtuais em um conjunto de escala podem ser implantadas em vários domínios de atualização e domínios de falhas para maximizar a disponibilidade e resiliência a paralisações devido a paralisações de datacenter e eventos de manutenção planejados ou não.",Conceitos em núvem
11,12,"Nota: Esta pergunta faz parte de uma série de perguntas que apresentam o mesmo cenário. Cada pergunta da série contém uma solução única que pode atingir as metas declaradas. Alguns conjuntos de perguntas podem ter mais de uma solução correta, enquanto outros podem não ter uma solução correta. Depois de responder a uma pergunta nesta seção, você NÃO poderá retornar a ela. Como resultado, essas perguntas não aparecerão na tela de revisão. Você planeja implantar várias máquinas virtuais do Azure. Você precisa garantir que os serviços em execução nas máquinas virtuais estejam disponíveis se um único datacenter falhar. Solução: Você implanta as máquinas virtuais em duas ou mais zonas de disponibilidade. Isso cumpre o objetivo?",Sim,Não,,,,A,"As zonas de disponibilidade expandem o nível de controle que você tem para manter a disponibilidade dos aplicativos e dados em suas VMs. Uma Zona de Disponibilidade é uma zona fisicamente separada, dentro de uma região do Azure. Existem três Zonas de Disponibilidade por região do Azure com suporte. Cada Zona de Disponibilidade tem uma fonte de energia, rede e resfriamento distintos. Ao arquitetar suas soluções para usar VMs replicados em zonas, você pode proteger seus aplicativos e dados contra a perda de um datacenter. Se uma região for comprometida, os aplicativos e dados replicados estarão disponíveis instantaneamente em outra região.",Conceitos em núvem
12,13,"Nota: Esta pergunta faz parte de uma série de perguntas que apresentam o mesmo cenário. Cada pergunta da série contém uma solução única que pode atingir as metas declaradas. Alguns conjuntos de perguntas podem ter mais de uma solução correta, enquanto outros podem não ter uma solução correta. Depois de responder a uma pergunta nesta seção, você NÃO poderá retornar a ela. Como resultado, essas perguntas não aparecerão na tela de revisão. Você planeja implantar várias máquinas virtuais do Azure. Você precisa garantir que os serviços em execução nas máquinas virtuais estejam disponíveis se um único datacenter falhar. Solução: Você implanta as máquinas virtuais em duas ou mais regiões. Isso atende ao objetivo?",Sim,Não,,,,A,"Ao implantar as máquinas virtuais em duas ou mais regiões, você está implantando as máquinas virtuais em vários datacenters. Isso garantirá que os serviços em execução nas máquinas virtuais estejam disponíveis se um único datacenter falhar. O Azure opera em vários datacenters ao redor do mundo. Esses datacenters são agrupados em regiões geográficas, dando flexibilidade na escolha de onde construir seus aplicativos. Você cria recursos do Azure em regiões geográficas definidas como ""Oeste dos EUA"", ""Norte da Europa"" ou ""Sudeste Asiático"". Você pode rever a lista de regiões e suas localizações. Dentro de cada região, existem vários datacenters para fornecer redundância e disponibilidade.",Conceitos em núvem
13,14,Você tem 1.000 máquinas virtuais hospedadas nos hosts Hyper-V em um datacenter. Você planeja migrar todas as máquinas virtuais para uma assinatura pré-paga do Azure. Você precisa identificar qual modelo de despesa usar para a solução planejada do Azure. Qual modelo de despesa você deve identificar?,operacional,elástico,capital,escalonável,,A,"Uma das principais mudanças que você enfrentará quando passar da nuvem local para a nuvem pública é a mudança das despesas de capital (compra de hardware) para as despesas operacionais (pagando pelo serviço à medida que você o usa). Essa mudança também requer uma gestão mais cuidadosa de seus custos. O benefício da nuvem é que você pode afetar fundamental e positivamente o custo de um serviço que você usa, simplesmente desligando-o ou redimensionando-o",Conceitos em núvem
14,15,Sua empresa tem uma rede local que contém vários servidores. A empresa planeja reduzir as seguintes responsabilidades administrativas dos administradores de rede:  Backup de dados do aplicativo;  Substituição do hardware do servidor com falha;  Gerenciamento da segurança do servidor físico;  Atualização dos sistemas operacionais do servidor;  Gerenciamento de permissões para documentos compartilhados. A empresa planeja migrar vários servidores para máquinas virtuais do Azure. Você precisa identificar quais responsabilidades administrativas serão eliminadas após a migração planejada. Quais duas responsabilidades você deve identificar? Cada resposta correta apresenta uma solução completa. NOTA: Cada seleção correta vale um ponto.,Substituição do hardware do servidor,Backup de dados do aplicativo,Gerenciamento de segurança física,Atualização dos sistemas,Gerenciamento de permissões,AC,"As máquinas virtuais do Azure são executadas em servidores físicos Hyper-V. Os servidores físicos pertencem e são gerenciados pela Microsoft. Como cliente do Azure, você não tem acesso aos servidores físicos. A Microsoft gerencia a substituição de hardware de servidor com falha e a segurança dos servidores físicos para que você não precise fazer isso.",Conceitos em núvem
15,16,Você planeja prover recursos de Infraestrutura como serviço (IaaS) no Azure. Qual recurso é um exemplo de IaaS?,um aplicativo web do Azure,uma máquina virtual Azure,um aplicativo de lógica Azure,um banco de dados Azure SQL,,B,"Uma máquina virtual do Azure é um exemplo de Infraestrutura como serviço (IaaS). O aplicativo web Azure, o aplicativo de lógica Azure e o banco de dados Azure SQL são todos exemplos de Platform as a Service (Paas).",Conceitos em núvem
16,17,"Uma equipe de desenvolvedores da sua empresa planeja implantar e, em seguida, remover, 50 máquinas virtuais por semana. Todas as máquinas virtuais são configuradas usando modelos do Azure Resource Manager. Você precisa recomendar qual serviço do Azure minimizará o esforço administrativo necessário para implantar e remover as máquinas virtuais. O que você deve recomendar",Instâncias da Máquina Virtual Reservada (VM) do Azure,DevTest Labs,Conjuntos de escala de máquinas virtuais do Azure,Desktop gerenciado pela Microsoft,,B,"O DevTest Labs cria laboratórios compostos por bases pré-configuradas ou modelos do Azure Resource Manager. Usando o DevTest Labs, você pode testar as versões mais recentes de seus aplicativos fazendo as seguintes tarefas:  Provisione rapidamente ambientes Windows e Linux usando modelos e artefatos reutilizáveis.  Integre facilmente seu pipeline de implantação com a DevTest Labs para provisão de ambientes sob demanda.  Amplie seus testes de carga fornecendo vários agentes de teste e crie ambientes préprovisionados para treinamento e demonstrações.",Conceitos em núvem
17,18,Você planeja implantar várias máquinas virtuais do Azure. Você precisa garantir que os serviços em execução nas máquinas virtuais estejam disponíveis se um único datacenter falhar. Solução: Você implanta as máquinas virtuais em dois ou mais grupos de recursos. Isso cumpre o objetivo?,Sim,Não,,,,B,"Um grupo de recursos é um contêiner lógico para recursos do Azure. Ao criar um grupo de recursos, você especifica em qual local criar o grupo de recursos. No entanto, quando você cria uma máquina virtual e a coloca no grupo de recursos, a máquina virtual ainda pode estar em um local diferente (datacenter diferente). Portanto, criar vários grupos de recursos, mesmo que estejam em datacenters separados, não garante que os serviços em execução nas máquinas virtuais estejam disponíveis se um único datacenter falhar.",Conceitos em núvem
18,19,Você planeja implantar várias máquinas virtuais do Azure. Você precisa garantir que os serviços em execução nas máquinas virtuais estejam disponíveis se um único datacenter falhar. Solução: Você implanta as máquinas virtuais em um conjunto de escala. Isso atende ao objetivo?,Sim,Não,,,,B,"Esta resposta não especifica que o conjunto de escala será configurado em vários datacenters, portanto essa solução não atende ao objetivo. Os conjuntos de escala de máquina virtual do Azure permitem que você crie e gerencie um grupo de VMs com carga balanceadas. O número de instâncias de VM pode aumentar ou diminuir automaticamente em resposta à demanda ou a um cronograma definido. Os conjuntos de escala fornecem alta disponibilidade para seus aplicativos e permitem que você gerencie, configure e atualize de forma centralizada muitas VMs. As Máquinas virtuais em um conjunto de escala podem ser implantadas em vários domínios de atualização e domínios de falhas para maximizar a disponibilidade e resiliência a paralisações devido a paralisações de datacenter e eventos de manutenção planejados ou não.",Conceitos em núvem
19,20,"Sua empresa planeja migrar todos os seus dados e recursos para o Azure. O plano de migração da empresa afirma que apenas as soluções de Plataforma como Serviço (PaaS) devem ser usadas no Azure. Você precisa implantar um ambiente Azure que atenda ao plano de migração da empresa. Solução: Você cria máquinas virtuais Azure, bancos de dados Azure SQL e contas de armazenamento Azure. Isso atende ao objetivo?",Sim,Não,,,,B,"A Plataforma como Serviço (PaaS) é um ambiente completo de desenvolvimento e implantação na nuvem. O PaaS inclui infraestrutura — servidores, armazenamento e rede — mas também middleware, ferramentas de desenvolvimento, serviços de business intelligence (BI), sistemas de gerenciamento de banco de dados e muito mais. O PaaS foi projetado para suportar o ciclo de vida completo da aplicação web: construção, teste, implantação, gerenciamento e atualização. No entanto, as máquinas virtuais são exemplos de Infraestrutura como Serviço (IaaS). IaaS é uma infraestrutura de computação instantânea, provisionada e gerenciada pela internet.",Conceitos em núvem
20,21,Sua empresa planeja implantar vários aplicativos personalizados para o Azure. Os aplicativos prestarão serviços de faturamento aos clientes da empresa. Cada aplicativo terá vários aplicativos e serviços de pré-requisitos instalados. Você precisa recomendar uma solução de implantação em nuvem para todos os aplicativos. O que você deve recomendar?,Software as a Service (SaaS),Platform as a Service (PaaS),Infrastructure as a Service (laaS),,,C,"Infraestrutura como Serviço (IaaS) é uma infraestrutura de computação instantânea, provisionada e gerenciada pela internet. O provedor de serviços IaaS gerencia a infraestrutura, enquanto você compra, instala, configura e gerencia",Conceitos em núvem
21,22,"Esta pergunta requer que você avalie o texto sublinhado para determinar se ele está correto. Uma região do Azure contém um ou mais datacenters conectados usando uma rede de baixa latência. Instruções: Reveja o texto sublinhado. Se ele fizer a declaração correta, selecione ""Nenhuma alteração é necessária"". Se a instrução estiver incorreta, selecione a escolha de resposta que faz a declaração correta.",Nenhuma mudança é necessária.,É encontrado em cada país onde a Microsoft tem um escritório subsidiário.,Pode ser encontrado em todos os países da Europa e das Américas apenas,Contém um ou mais datacenters conectados usando uma rede de alta latência,,A,"Uma região é um conjunto de datacenters implantados dentro de um perímetro definido pela latência e conectados através de uma rede regional dedicada de baixa latência. Atualmente, o Microsoft Azure possui 55 regiões em todo o mundo. As regiões são divididas em Zonas de Disponibilidade. Zonas de disponibilidade são locais fisicamente separados dentro de uma região do Azure. Cada Zona de Disponibilidade é composta por um ou mais datacenters equipados com energia independente, resfriamento e rede.",Serviços do Azure
22,23,"Uma equipe de desenvolvedores da sua empresa planeja implantar e, em seguida, remover 50 máquinas virtuais personalizadas por semana. Trinta das máquinas virtuais executam o Windows Server 2016 e 20 das máquinas virtuais executam o Ubuntu Linux. Você precisa recomendar qual serviço do Azure minimizará o esforço administrativo necessário para implantar e remover as máquinas virtuais. O que você deve recomendar?",Instâncias de Máquinas Virtuais Reservadas Azure (VM),Conjuntos de escala de máquinas virtuais do Azure,Azure DevTest Labs,Desktop gerenciado pela Microsoft,,C,"O DevTest Labs cria laboratórios compostos por bases pré-configuradas ou modelos do Azure Resource Manager. Usando o DevTest Labs, você pode testar as versões mais recentes de seus aplicativos fazendo as seguintes tarefas:  Provisione rapidamente ambientes Windows e Linux usando modelos e artefatos reutilizáveis.  Integre facilmente seu pipeline de implantação com a DevTest Labs para provisão de ambientes sob demanda.  Dimensione seus testes de carga fornecendo vários agentes de teste e crie ambientes préprovisionados para treinamento e demonstrações.",Serviços do Azure
23,24,"Um dos benefícios do Azure SQL Data Warehouse é que a alta disponibilidade é incorporada à plataforma. Instruções: Reveja o texto sublinhado. Se ele fizer a declaração correta, selecione ""Nenhuma alteração é necessária"". Se a instrução estiver incorreta, selecione a escolha de resposta que faz a declaração correta.",Nenhuma mudança é necessária,compressão de dados,versionação,dimensionamento automático,,A,"O Azure Data Warehouse (agora conhecido como Azure Synapse Analytics) é uma oferta PaaS da Microsoft. Como em todos os serviços PaaS da Microsoft, o SQL Data Warehouse oferece uma disponibilidade de SLA de 99,9%. A Microsoft pode oferecer 99,9% de disponibilidade porque tem recursos de alta disponibilidade incorporados à plataforma.",Serviços do Azure
24,25,Um engenheiro de suporte planeja executar várias tarefas de gerenciamento do Azure usando o CLI Azure. Você instala o CLI em um computador. Você precisa dizer ao engenheiro de suporte quais ferramentas usar para executar o CLI. Quais duas ferramentas você deve instruir o engenheiro de suporte a usar? Cada resposta correta apresenta uma solução completa,Command Prompt,Azure Resource Explorer,Windows PowerShell,Windows Defender Firewall,Network and Sharing Center,AC,"Para Windows, o Azure CLI é instalado através de um MSI, que lhe dá acesso ao CLI através do Windows Command Prompt (CMD) ou PowerShell.",Serviços do Azure
25,26,Você planeja armazenar 20 TB de dados no Azure. Os dados serão acessados com pouca frequência e visualizados usando o Microsoft Power BI. Você precisa recomendar uma solução de armazenamento para os dados. Quais duas soluções você deve recomendar? Cada resposta correta apresenta uma solução completa. NOTA: Cada seleção correta vale um ponto.,Azure Data Lake,Azure Cosmos DB,Azure SQL Data Warehouse,Azure SQL Database,Azure Database for PostgreSQL,AC,"Você pode usar o Power BI para analisar e visualizar dados armazenados no Azure Data Lake e no Azure SQL Data Warehouse. O Azure Data Lake inclui todos os recursos necessários para facilitar que desenvolvedores, cientistas de dados e analistas armazenem dados de qualquer tamanho e forma e em qualquer velocidade e façam todos os tipos de processamento e análise em plataformas e idiomas. Ele remove as complexidades de ingerir e armazenar todos os seus dados, tornando-o mais rápido para se levantar e funcionar com análises em lote, streaming e interativas. Ele também se integra perfeitamente com lojas operacionais e data warehouses para que você possa estender aplicativos",Serviços do Azure
26,27,Você precisa identificar o tipo de falha para a qual uma Zona de Disponibilidade do Azure pode ser usada para proteger o acesso aos serviços do Azure. O que você deve identificar? ,uma falha do servidor físico,uma falha na região do Azure,uma falha de armazenamento,uma falha do datacenter Azure,,D,"As zonas de disponibilidade expandem o nível de controle que você tem para manter a disponibilidade dos aplicativos e dados em seus VMs. Uma Zona de Disponibilidade é uma zona fisicamente separada, dentro de uma região do Azure. Existem três Zonas de Disponibilidade por região suportada do Azure. Cada Zona de Disponibilidade tem uma fonte de energia, rede e resfriamento distintas. Ao arquitetar suas soluções para usar VMs replicados em zonas, você pode proteger seus aplicativos e dados contra a perda de um datacenter. Se uma zona for comprometida, os aplicativos e dados replicados estarão disponíveis instantaneamente em outra zona.",Serviços do Azure
27,28,Você tem uma máquina virtual chamada VM1 que executa o Windows Server 2016. VM1 está na região leste do Azure dos EUA. Qual serviço do Azure deve usar no portal Azure para visualizar notificações de falha de serviço que podem afetar a disponibilidade do VM1?,Tecido de serviço azure,Azure Monitor,Máquinas virtuais Azure,Conselheiro Azure,,C,"Na página de máquinas virtuais do Azure, no portal Azure, há um Status de Manutenção. Esta coluna exibirá problemas de serviço que podem afetar sua máquina virtual. Uma falha de serviço é rara, mas a manutenção do servidor host que pode afetar suas máquinas virtuais é mais comum. O Azure atualiza periodicamente sua plataforma para melhorar a confiabilidade, o desempenho e a segurança da infraestrutura de host para máquinas virtuais. O objetivo dessas atualizações vai desde a correção de componentes de software no ambiente de hospedagem até a atualização de componentes de rede ou descomissionamento de hardware.",Serviços do Azure
28,29,Um administrador do Azure planeja executar um script PowerShell que cria recursos do Azure. Você precisa recomendar qual configuração do computador usar para executar o script. Solução: Execute o script a partir de um computador que executa Linux e tem as ferramentas Azure CLI instaladas. Isso atende ao objetivo?,Sim,Não,,,,B,"Um script PowerShell é um arquivo que contém cmdlets e código do PowerShell. Um script PowerShell precisa ser executado no PowerShell. O PowerShell agora pode ser instalado no Linux. No entanto, a questão afirma que o computador tem ferramentas Azure CLI, não PowerShell instalados, portanto, essa solução não atende ao objetivo",Serviços do Azure
29,30,Um administrador do Azure planeja executar um script PowerShell que cria recursos do Azure. Você precisa recomendar qual configuração do computador usar para executar o script. Solução: Execute o script a partir de um computador que executa o Chrome OS e usa o Azure Cloud Shell. Isso atende ao objetivo?,Sim,Não,,,,A,"Um script PowerShell é um arquivo que contém cmdlets e código do PowerShell. Um script PowerShell precisa ser executado no PowerShell. Com o Azure Cloud Shell, você pode executar cmdlets e scripts do PowerShell em um navegador da Web. Você faz login no Portal Azure e seleciona a opção Azure Cloud Shell. Isso abrirá uma sessão do PowerShell no navegador da Web. O Azure Cloud Shell tem o módulo Azure PowerShell necessário instalado. Nota: para executar um script PowerShell no Azure Cloud Shell, você precisa mudar para o diretório onde o script PowerShell é armazenado.",Serviços do Azure
30,31,"Nota: Esta pergunta faz parte de uma série de perguntas que apresentam o mesmo cenário. Cada pergunta da série contém uma solução única que pode atingir as metas declaradas. Alguns conjuntos de perguntas podem ter mais de uma solução correta, enquanto outros podem não ter uma solução correta. Depois de responder a uma pergunta nesta seção, você NÃO poderá retornar a ela. Como resultado, essas perguntas não aparecerão na tela de revisão. Um administrador do Azure planeja executar um script PowerShell que cria recursos do Azure. Você precisa recomendar qual configuração do computador usar para executar o script. Solução: Execute o script a partir de um computador que executa macOS e tem PowerShell Core 6.0 instalado. Isso atende ao objetivo?",Sim,Não,,,,A,"Um script PowerShell é um arquivo que contém cmdlets e código do PowerShell. Um script PowerShell precisa ser executado no PowerShell. Nesta pergunta, o computador tem o PowerShell Core 6.0 instalado, portanto, essa solução atende ao objetivo. Nota: Para criar recursos do Azure usando o PowerShell, você precisaria importar o módulo Azure PowerShell, que inclui os cmdlets PowerShell necessários para criar os recursos.",Serviços do Azure
31,32,Você tem um ambiente Azure que contém 10 redes virtuais e 100 máquinas virtuais. Você precisa limitar a quantidade de tráfego de entrada para todas as redes virtuais do Azure. O que você deve criar?,um Grupo de Segurança de Aplicativos (ASG),10 gateways de rede virtual,10 circuitos Azure ExpressRoute,um firewall Azure,,D,"Você pode restringir o tráfego a várias redes virtuais com um único firewall Azure. O Azure Firewall é um serviço gerenciado de segurança de rede baseado em nuvem que protege seus recursos da Rede Virtual do Azure. É um firewall totalmente imponente como um serviço com alta disponibilidade incorporada e escalabilidade irrestrita na nuvem. Você pode criar, impor e registrar centralmente políticas de conectividade de aplicativos e rede em assinaturas e redes virtuais. O Azure Firewall usa um endereço IP público estático para seus recursos de rede virtual, permitindo que firewalls externos identifiquem o tráfego originário de sua rede virtual.",Serviços do Azure
32,33,Você tem um ambiente Azure que contém várias máquinas virtuais Azure. Você planeja implementar uma solução que permita que os computadores clientes em sua rede local se comuniquem com as máquinas virtuais do Azure. Você precisa recomendar quais recursos do Azure devem ser criados para a solução planejada. Quais dois recursos do Azure você deve incluir na recomendação? Cada resposta correta apresenta parte da solução. NOTA: Cada seleção correta vale um ponto.,um gateway de rede virtual,um balanceador de carga,um Gateway de Aplicativo,uma rede virtual,uma sub-rede para gateway de Aplicativo,AE,"Para implementar uma solução que permita que os computadores clientes em sua rede local se comuniquem com as máquinas virtuais do Azure, você precisa configurar uma VPN (Virtual Private Network) para conectar a rede local à rede virtual do Azure. O dispositivo Azure VPN é conhecido como Virtual Network Gateway. O gateway de rede virtual precisa estar localizado em uma sub-rede dedicada na rede virtual do Azure. Esta sub-rede dedicada é conhecida como uma sub-rede gateway e deve ser chamada de 'GatewaySubnet'. Nota: uma rede virtual (resposta D) também é necessária, no entanto, como já temos máquinas virtuais implantadas em um Azure, podemos supor que a rede virtual já está em vigor.",Serviços do Azure
